Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,Latitude,Longitude
7/19/23,US,United States of America,AMRO,0,103436829,0,1127152,37.09024,-95.712891
7/19/23,CN,China,WPRO,0,99296816,0,121536,35.86166,104.195397
7/19/23,IN,India,SEARO,0,44994955,0,531915,20.593684,78.96288
7/19/23,FR,France,EURO,0,38997490,0,167985,46.227638,2.213749
7/19/23,DE,Germany,EURO,0,38437756,0,174979,51.165691,10.451526
7/19/23,BR,Brazil,AMRO,0,37693506,0,704320,"	-14.235004",-51.92528
7/19/23,JP,Japan,WPRO,0,33803572,0,74694,36.204824,138.252924
7/19/23,KR,Republic of Korea,WPRO,0,32611509,0,35159,35.907757,127.766922
7/19/23,IT,Italy,EURO,0,25904951,0,190942,41.87194,12.56738
7/19/23,GB,The United Kingdom,EURO,0,24641596,0,228144,55.378051,-3.435973